 0.56095E-11  0.25416E-21
 0.70784E-11  0.94125E-21
 0.89319E-11  0.26096E-20
 0.11271E-10  0.63244E-20
 0.14222E-10  0.14074E-19
 0.17946E-10  0.29444E-19
 0.22646E-10  0.58716E-19
 0.28576E-10  0.11266E-18
 0.36058E-10  0.20941E-18
 0.45500E-10  0.37899E-18
 0.57415E-10  0.67056E-18
 0.72450E-10  0.11636E-17
 0.91421E-10  0.19854E-17
 0.11536E-09  0.33382E-17
 0.14557E-09  0.55410E-17
 0.18369E-09  0.90935E-17
 0.23179E-09  0.14774E-16
 0.29248E-09  0.23789E-16
 0.36907E-09  0.38001E-16
 0.46571E-09  0.60268E-16
 0.58766E-09  0.94970E-16
 0.74154E-09  0.14879E-15
 0.93572E-09  0.23189E-15
 0.11807E-08  0.35969E-15
 0.14899E-08  0.55553E-15
 0.18801E-08  0.85467E-15
 0.23724E-08  0.13102E-14
 0.29936E-08  0.20021E-14
 0.37775E-08  0.30504E-14
 0.47667E-08  0.46350E-14
 0.60149E-08  0.70255E-14
 0.75899E-08  0.10625E-13
 0.95774E-08  0.16036E-13
 0.12085E-07  0.24156E-13
 0.15250E-07  0.36325E-13
 0.19243E-07  0.54538E-13
 0.24282E-07  0.81762E-13
 0.30641E-07  0.12241E-12
 0.38664E-07  0.18305E-12
 0.48789E-07  0.27341E-12
 0.61564E-07  0.40794E-12
 0.77685E-07  0.60810E-12
 0.98028E-07  0.90565E-12
 0.12370E-06  0.13477E-11
 0.15609E-06  0.20040E-11
 0.19696E-06  0.29779E-11
 0.24854E-06  0.44221E-11
 0.31362E-06  0.65630E-11
 0.39574E-06  0.97350E-11
 0.49937E-06  0.14433E-10
 0.63013E-06  0.21020E-10
 0.79513E-06  0.30028E-10
 0.10033E-05  0.42788E-10
 0.12661E-05  0.60813E-10
 0.15976E-05  0.86201E-10
 0.20160E-05  0.12185E-09
 0.25438E-05  0.17178E-09
 0.32100E-05  0.24147E-09
 0.40505E-05  0.33849E-09
 0.51112E-05  0.47316E-09
 0.64496E-05  0.65957E-09
 0.81384E-05  0.91692E-09
 0.10270E-04  0.12713E-08
 0.12959E-04  0.17580E-08
 0.16352E-04  0.24251E-08
 0.20634E-04  0.33372E-08
 0.26037E-04  0.45820E-08
 0.32855E-04  0.62774E-08
 0.41458E-04  0.85826E-08
 0.52314E-04  0.11712E-07
 0.66013E-04  0.15954E-07
 0.83299E-04  0.21695E-07
 0.10511E-03  0.29458E-07
 0.13264E-03  0.39940E-07
 0.16737E-03  0.54082E-07
 0.21119E-03  0.73144E-07
 0.26650E-03  0.98815E-07
 0.33628E-03  0.13336E-06
 0.42434E-03  0.17982E-06
 0.53545E-03  0.24227E-06
 0.67567E-03  0.32615E-06
 0.85260E-03  0.43878E-06
 0.10759E-02  0.58995E-06
 0.13576E-02  0.79275E-06
 0.17131E-02  0.10647E-05
 0.21616E-02  0.14294E-05
 0.27277E-02  0.19182E-05
 0.34419E-02  0.25732E-05
 0.43432E-02  0.34508E-05
 0.54805E-02  0.46263E-05
 0.69157E-02  0.62006E-05
 0.87266E-02  0.83087E-05
 0.11012E-01  0.11131E-04
 0.13895E-01  0.14910E-04
 0.17534E-01  0.19968E-04
 0.22125E-01  0.26738E-04
 0.27919E-01  0.35798E-04
 0.35229E-01  0.47923E-04
 0.44454E-01  0.64148E-04
 0.56095E-01  0.85857E-04
0.10307E+00 0.94122E-04 
0.19682E+00 0.25795E-03 
0.29065E+00 0.41655E-03 
0.38453E+00 0.55855E-03 
0.47845E+00 0.68448E-03 
0.57238E+00 0.79724E-03 
0.66634E+00 0.89989E-03 
0.76031E+00 0.99499E-03 
0.85429E+00 0.10846E-02 
0.94828E+00 0.11705E-02 
0.10423E+01 0.12538E-02 
0.11363E+01 0.13355E-02 
0.12303E+01 0.14166E-02 
0.13243E+01 0.14976E-02 
0.14183E+01 0.15790E-02 
0.15124E+01 0.16612E-02 
0.16064E+01 0.17446E-02 
0.17004E+01 0.18294E-02 
